example_id                                                       | status  | run_time        |
./spec/models/pc_entrust_set_spec.rb[1:2:8]                      | passed  | 0.00044 seconds |
./spec/models/pc_entrust_set_spec.rb[1:2:9]                      | passed  | 0.00069 seconds |
./spec/models/pc_entrust_set_spec.rb[1:2:10]                     | passed  | 0.00037 seconds |
./spec/models/pc_entrust_set_spec.rb[1:3:1]                      | passed  | 0.01241 seconds |
./spec/requests/api/auth/registrations_spec.rb[1:1:1]            | pending | 0 seconds       |
./spec/requests/api/auth/sessions_spec.rb[1:1:1]                 | pending | 0 seconds       |
./spec/requests/api/top_spec.rb[1:1:1]                           | pending | 0.00002 seconds |
./spec/requests/api/v1/admin/parts_spec.rb[1:1:1:1]              | passed  | 0.16295 seconds |
./spec/requests/api/v1/admin/parts_spec.rb[1:1:1:2]              | passed  | 0.16508 seconds |
./spec/requests/api/v1/admin/parts_spec.rb[1:1:1:3]              | passed  | 0.15592 seconds |
./spec/requests/api/v1/admin/parts_spec.rb[1:1:1:4]              | passed  | 0.1554 seconds  |
./spec/requests/api/v1/admin/parts_spec.rb[1:1:2:1]              | passed  | 0.15954 seconds |
./spec/requests/api/v1/admin/parts_spec.rb[1:1:3:1]              | passed  | 0.00416 seconds |
./spec/requests/api/v1/admin/parts_spec.rb[1:2:1:1]              | passed  | 0.1888 seconds  |
./spec/requests/api/v1/admin/parts_spec.rb[1:2:1:2]              | passed  | 0.22195 seconds |
./spec/requests/api/v1/admin/parts_spec.rb[1:2:1:3]              | passed  | 0.16186 seconds |
./spec/requests/api/v1/admin/parts_spec.rb[1:2:2:1]              | passed  | 0.16459 seconds |
./spec/requests/api/v1/admin/parts_spec.rb[1:2:3:1]              | passed  | 0.01943 seconds |
./spec/requests/api/v1/admin/parts_spec.rb[1:3:1:1]              | passed  | 0.17618 seconds |
./spec/requests/api/v1/admin/parts_spec.rb[1:3:1:2]              | passed  | 0.15974 seconds |
./spec/requests/api/v1/admin/parts_spec.rb[1:3:2:1]              | passed  | 0.16316 seconds |
./spec/requests/api/v1/admin/parts_spec.rb[1:3:3:1]              | passed  | 0.01452 seconds |
./spec/requests/api/v1/admin/presets_spec.rb[1:1:1:1]            | passed  | 0.17446 seconds |
./spec/requests/api/v1/admin/presets_spec.rb[1:1:1:2]            | passed  | 0.17927 seconds |
./spec/requests/api/v1/admin/presets_spec.rb[1:1:1:3]            | passed  | 0.28162 seconds |
./spec/requests/api/v1/admin/presets_spec.rb[1:1:1:4]            | passed  | 0.17384 seconds |
./spec/requests/api/v1/admin/presets_spec.rb[1:1:2:1]            | passed  | 0.17072 seconds |
./spec/requests/api/v1/admin/presets_spec.rb[1:1:3:1]            | passed  | 0.02502 seconds |
./spec/requests/api/v1/admin/presets_spec.rb[1:2:1:1]            | passed  | 0.1784 seconds  |
./spec/requests/api/v1/admin/presets_spec.rb[1:2:1:2]            | passed  | 0.18533 seconds |
./spec/requests/api/v1/admin/presets_spec.rb[1:2:2:1]            | passed  | 0.17599 seconds |
./spec/requests/api/v1/admin/presets_spec.rb[1:2:3:1]            | passed  | 0.03063 seconds |
./spec/requests/api/v1/admin/presets_spec.rb[1:3:1:1]            | passed  | 0.32771 seconds |
./spec/requests/api/v1/admin/presets_spec.rb[1:3:1:2]            | passed  | 0.18209 seconds |
./spec/requests/api/v1/admin/presets_spec.rb[1:3:2:1]            | passed  | 0.1817 seconds  |
./spec/requests/api/v1/admin/presets_spec.rb[1:3:3:1]            | passed  | 0.0401 seconds  |
./spec/requests/api/v1/admin/users_spec.rb[1:1:1:1]              | passed  | 0.30859 seconds |
